cik,ticker,label,subset,Fiscal Period,Cost of Goods Sold,Depreciation Depletion Amortization,EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
1043382,SOA,False,train,Dec 2003,8303.0,28.0,3.0,31.0,265.0,200.0,1024.0,-44.0,-515.0,265.0,475.0,32.0,203.0,4.0,713.0,262.0,6.0
66570,MSA,False,train,Dec 2016,627.0,35.0,168.0,204.0,522.0,364.0,2616.0,92.0,901.0,1150.0,1354.0,473.0,221.0,103.0,793.0,355.0,214.0
66570,MSA,False,train,Dec 2017,658.0,38.0,45.0,83.0,539.0,448.0,2963.0,26.0,869.0,1197.0,1685.0,622.0,289.0,154.0,1082.0,350.0,262.0
66570,MSA,False,train,Dec 2018,746.0,38.0,181.0,219.0,612.0,341.0,3632.0,124.0,936.0,1358.0,1608.0,657.0,282.0,157.0,968.0,377.0,249.0
66570,MSA,False,train,Dec 2019,763.0,38.0,199.0,237.0,639.0,328.0,4908.0,138.0,1012.0,1402.0,1740.0,693.0,278.0,185.0,1007.0,388.0,259.0
66570,MSA,False,train,Dec 2020,753.0,40.0,178.0,217.0,595.0,287.0,5836.0,124.0,1103.0,1348.0,1920.0,801.0,311.0,245.0,1072.0,349.0,256.0
1758730,TW,False,test,Dec 2016,229.0,81.0,94.0,175.0,264.0,644.0,7571.0,93.0,48.0,492.0,1317.0,438.0,227.0,440.0,330.0,170.0,74.0
1758730,TW,False,test,Dec 2017,249.0,69.0,89.0,158.0,255.0,644.0,7571.0,84.0,48.0,504.0,1317.0,438.0,227.0,440.0,330.0,166.0,74.0
1758730,TW,False,test,Dec 2018,289.0,82.0,172.0,254.0,368.0,644.0,7571.0,159.0,48.0,658.0,4997.0,688.0,271.0,440.0,425.0,196.0,265.0
1758730,TW,False,test,Dec 2019,329.0,139.0,223.0,362.0,446.0,644.0,7571.0,84.0,48.0,776.0,5095.0,597.0,331.0,440.0,503.0,223.0,126.0
